Слово,Орфоэпическая транскрипция,Слово с ударением
жалею,* zh a1 l' + e0 / j u4,жале0ю
жалко,* zh a0 l + k + a4,жа0лко
жалкой,* zh a0 l + k / a4 j,жа0лкой
жалком,* zh a0 l + k / a4 m,жа0лком
жаловались,* zh a0 l + a4 v a4 + l' / i4 ^ s',жа0ловались
жалостью,* zh a0 l + a4 s' t' / j u4,жа0лостью
жаль,* zh a0 l',жа0ль
жаркий,* zh a0 r + k' / i4 j,жа0ркий
жарко,* zh a0 r + k + a4,жа0рко
ждавшая,* zh d + a0 + f sh / a4 j a4,жда0вшая
ждавшей,* zh d + a0 + f sh / y4 j,жда0вшей
ждал,* zh d + a0 + l,жда0л
ждали,* zh d + a0 + l' / i4,жда0ли
ждать,* zh d + a0 / t',жда0ть
ждем,* zh d' / o0 m,жде0м
ждет,* zh d' / o0 t,жде0т
ждешь,* zh d' / o0 sh,жде0шь
ждите,* zh d' / i0 t' i4,жди0те
ждут,* zh d / u0 d,жду0т
жевал,* zh y1 v + a0 + l,жева0л
желает,* zh y1 l + a0 / j i4 t,жела0ет
желал,* zh y1 l + a0 + l,жела0л
желала,* zh y1 l + a0 + l / a4,жела0ла
желаю,* zh y1 l + a0 j / u4,жела0ю
желают,* zh y1 l + a0 j / u4 t,жела0ют
желающие,* zh y1 l + a0 j + u4 sc / i4 j i4,жела0ющие
железные,* zh y1 l' e0 z + n / y4 j i4,желе0зные
желтая,* zh o0 l t / a4 j a4,же0лтая
желтоватенькая,* zh y1 l t + a1 v a0 t' + i4 n' k / a4 j a4,желтова0тенькая
желтые,* zh o0 l t / y4 j i4,же0лтые
желтым,* zh o0 l t / y4 m,же0лтым
желтыми,* zh o0 l t / y4 m' i4,же0лтыми
женат,* zh y1 n + a0 t,жена0т
женатых,* zh y1 n + a0 t / y4 h,жена0тых
жене,* zh e0 n' / i4,же0не
женихом,* zh y1 n' + i1 h / o0 m,женихо0м
женой,* j zh y1 / n o0,жено0й
женской,* zh e0 n + s k / a4 j,же0нской
женском,* zh e0 n + s k / a4 m,же0нском
женщин,* zh e0 n' + sc i4 n,же0нщин
женщина,* a4 zh e0 + n' sc i4 / n,женщи0на
женщинами,* zh e0 n' + sc i4 n / a4 m' i4,же0нщинами
женщине,* zh e0 n' + sc i4 n' / i4,же0нщине
женщиной,* zh e0 n' + sc i4 n / a4 j,же0нщиной
женщину,* - e0 n' + sc i4 n / u4,же0нщину
женщины,* zh e0 n' + sc i4 n / y4,же0нщины
жены,* zh o0 n / y4,же0ны
женя,* zh e0 n' / a4,же0ня
жерехов,* zh e0 r' i1 h + a4 f,же0рехов
жерехова,* zh e0 r' i1 h + a2 v / a2,же0рехова
жереховым,* zh e0 r' i4 h + a4 v / y4 m,же0реховым
жертва,* zh e0 r t v / a4,же0ртва
жест,* zh e0 s t,же0ст
жесткими,* zh o0 s - k' / i4 m' i4,же0сткими
жесткой,* zh o0 s t + k / a4 j,же0сткой
жестокие,* zh e1 s t + o0 k' / i4 - i4,жесто0кие
жестокосердии,* zh y1 s t + a2 k = a1 * s' e0 r d' + i4 / i4,жестокосе0рдии
жестокость,* zh y1 s t + o0 k + a4 s' t',жесто0кость
жив,* zh y0 + f,жи0в
живали,* y4 v + a0 l' + i4 / s,жива0ли
живем,* zh y1 v' / o0 m,живе0м
живет,* zh y1 v' / o0 t,живе0т
живешь,* zh y1 v' / o0 sh,живе0шь
живот,* zh y1 + v + o0 t,живо0т
живут,* zh y1 + v / u0 t,живу0т
живущим,* zh y1 + v + u0 sc / i4 m,живу0щим
живущих,* zh y1 v + u0 sc / i4 h,живу0щих
жившей,* zh y0 + f sh / a4 j,жи0вшей
живший,* zh y0 + f sh / y4 j,жи0вший
жившую,* zh y0 + f sh / u4 j u4,жи0вшую
живые,* zh y1 + v / y0 j i4,живы0е
жизни,* y0 z' + n' i4 / d,жи0зни
жизнь,* zh y0 + z' n,жи0знь
жизнью,* zh i0 + z' n' / j u4,жи0знью
жил,* zh y0 + l,жи0л
жили,* zh y0 + l' / i4,жи0ли
жители,* zh y0 + t' i4 l' / i4,жи0тели
жить,* - y0 / t',жи0ть
жулик,* zh u0 l' + i4 k,жу0лик
журнал,* zh u1 r n a0 l,журна0л
журнале,* zh u1 r n a0 l' / i4,журна0ле
журналов,* zh u1 r n a0 l / a4 f,журна0лов
жэк,* zh e0 k,жэ0к
забавно,* z a1 b a0 v + n + a4,заба0вно
заболевают,~ z a2 * b a2 l' + i1 + v a0 / j u4 t,заболева0ют
заболела,~ z a2 * b a1 l' + e0 + l / a4,заболе0ла
забор,~ z a1 * b o0 r,забо0р
забора,~ z a1 * b o0 r / a4,забо0ра
заборов,~ z a1 * b o0 r / a4 f,забо0ров
забором,~ z a1 * b o0 r / a4 m,забо0ром
заборы,~ z a1 * b o0 r / y4,забо0ры
забот,* z a1 b o0 d,забо0т
забота,* z a1 b o0 t / a4,забо0та
заботится,* z a1 b o0 t' / i4 ^ c a4,забо0тится
заботишься,* z a1 b o0 t' / i4 sh ^ s' a4,забо0тишься
заботятся,* z a1 b o0 t' / i4 ^ c a4,забо0тятся
забочусь,* z a1 b o0 ch / u4 ^ s',забо0чусь
забросил,~ z a1 * b r o0 s' + i4 + l,забро0сил
забросила,~ z a1 * b r o0 s' + i4 l / a4,забро0сила
забудет,~ z a1 * b u0 d' / i4 t,забу0дет
забудь,~ z a1 * b + u0 + d',забу0дь
забывает,~ z a2 * b y1 + v a0 / - i4 t,забыва0ет
забываю,~ z a2 * b y1 + v a0 / j u4,забыва0ю
забывают,~ z a2 * b y1 + v a0 / j u4 t,забыва0ют
забывая,~ z a2 * b y1 + v a0 + j a4,забыва0я
забыл,~ z a1 * b y0 + l,забы0л
забыла,~ z a1 * b y0 + l / a4,забы0ла
забыли,~ z a1 * b y0 + l' / i4,забы0ли
забыть,~ z a1 * b y0 / t',забы0ть
заведомая,~ z a1 * v' e0 d + a4 m / a4 j a4,заве0домая
завернувшиеся,~ z a2 * v' i1 r + n u0 + f sh / y4 - i4 ^ s' i4,заверну0вшиеся
завертела,~ z a2 * v' i1 r t' + e0 + l / a4,заверте0ла
завершился,~ z a2 * v' i1 r sh + y0 + l ^ s' a4,заверши0лся
завидовал,~ z a1 * v' i0 d + a4 v a4 + l,зави0довал
завидуют,~ z a1 * v' i0 d + u4 / j u4 t,зави0дуют
зависела,~ z a1 * v' i0 s' + i4 + l / a4,зави0села
зависимости,~ z a1 * v' i0 s' + i4 m + a4 s' t' / i4,зави0симости
зависимость,~ z a1 * v' i0 s' + i4 m / a4 s' t',зави0симость
зависит,~ s' i1 * j ch a0 / z z,зави0сит
зависти,* z a0 v' i4 s' t' / i4,за0висти
заводил,~ z a2 * v a1 d' + i0 + l,заводи0л
заводила,~ z a2 * v a1 d' + i0 + l / a4,заводи0ла
заводская,* z a2 v a1 + c k / a0 j a4,заводска0я
заволновалась,~ z a2 * v a2 l n + a1 v a0 + l / a4 ^ s',заволнова0лась
заволновался,~ z a2 * v a2 l n + a1 v a0 + l ^ s' a4,заволнова0лся
завтра,* a0 f t r a4 f,за0втра
завтрак,* z a0 f t r a4 + k,за0втрак
завтрака,* z a0 f t r a4 + k / a4,за0втрака
загадочного,~ z a1 * g a0 d + a4 ch + n / a4 v a4,зага0дочного
загар,~ z a1 * g a0 r,зага0р
заглядывавших,~ z a1 * g l' a0 d + y4 v a4 + f sh / y4 h,загля0дывавших
заглядывала,~ z a1 * g l' a0 d + y4 v a4 + l / a4,загля0дывала
заглядывали,~ z a1 * g l' a0 d + y4 v a4 + l' / i4,загля0дывали
заглядывать,~ z a1 * g l' a0 d + y4 v a4 / t',загля0дывать
заглядывая,~ z a1 * g l' a0 d + y4 v a4 + j a4,загля0дывая
загнали,~ z a1 * g n + a0 + l' / i4,загна0ли
заговаривал,~ z a2 * g a1 v a0 r' + i4 v a4 + l,загова0ривал
заговаривать,~ z a2 * g a1 v a0 r' + i4 v a4 / t',загова0ривать
заговорил,~ z a2 * g a2 v a1 + r' i0 + l,заговори0л
заговорила,~ z a2 * g a2 v a1 r' + i0 + l / a4,заговори0ла
заговорит,~ z a2 * g a2 v a1 r' / i0 t,заговори0т
загорают,~ z a2 * g a1 r + a0 / j u4 t,загора0ют
загорелый,~ z a2 * g a1 r' + e0 + l / y4 j,загоре0лый
загорелым,~ z a2 * g a1 r' + e0 + l / y4 m,загоре0лым
загореть,~ z a2 * g a1 r' + e0 / t',загоре0ть
заграничную,~ z a2 * g r a1 n' i0 ch + n / u4 j u4,заграни0чную
загроможден,~ z a2 * g r a2 m a1 zh d' + o0 n,загроможде0н
загудел,~ z a2 * g u1 d' + e0 + l,загуде0л
задавали,~ z a2 * d a1 + v a0 + l' / i4,задава0ли
задавать,~ z a2 * d a1 + v a0 / t',задава0ть
задан,~ z a0 * d a4 + n,за0дан
задание,~ z a1 * d a0 + n' i4 j / i4,зада0ние
задания,~ z a1 * d a0 + n' i4 j / a4,зада0ния
задело,~ z a1 * d' e0 + l / a4,заде0ло
задержался,~ z a2 * d' i1 r zh + a0 + l ^ s' a4,задержа0лся
задерживается,~ z a1 * d' e0 r zh + y4 v a4 / j i4 ^ c a4,заде0рживается
задетый,~ z a1 * d' e0 + t / y4 j,заде0тый
задолжала,~ z a2 * d a1 l zh + a0 + l / -,задолжа0ла
задумались,~ z a1 * d u0 m + a4 + l' + i4 ^ s',заду0мались
задумался,~ z a1 * d u0 m + a4 + l ^ s' a4,заду0мался
задумчиво,~ z a1 * d u0 m + ch i4 v + a4,заду0мчиво
задумчивости,~ z a1 * d u0 m + ch i4 v + a4 s' t' / i4,заду0мчивости
задумчивым,~ z a1 * d u0 m + ch i4 v / y4 m,заду0мчивым
задумывался,~ z a1 * d u0 m + y4 v a4 + l ^ s' a4,заду0мывался
заезжал,~ a2 j * i1 zh - + a0 + l,заезжа0л
заехал,~ z a1 * j e0 h + a4 + l,зае0хал
зажмурился,~ z a1 * zh m u0 r' + i4 + l ^ s' a4,зажму0рился
заимели,~ z a2 * i1 m' + e0 + l' / i4,заиме0ли
заинтересуешь,~ z a1 * i1 n' t' i1 r' i1 s + u0 / j i4 sh,заинтересу0ешь
заискивающим,~ z a1 * i0 s k' + i4 v + a4 + j u4 sc / i4 m,заи0скивающим
зайдем,~ z a1 * j d' / o0 m,зайде0м
зайдите,~ z a1 * j d' + i0 + i0 t',зайди0те
зайду,~ z a0 * j d / u4,за0йду
заказывали,~ z a1 * k a0 z + y4 v a4 + l' / i4,зака0зывали
заключалась,~ z a2 * k l' u1 ch + a0 + l / a4 ^ s',заключа0лась
заключали,~ z a2 * k l' u1 ch + a0 + l' / i4,заключа0ли
заключались,~ z a2 * k l' u1 ch + a0 + l' / i4 ^ s',заключа0лись
заколебался,~ z a2 * k a2 l' i1 b + a0 + l ^ s' a4,заколеба0лся
закололи,~ z a2 * k a1 l + o0 + l' / i4,заколо0ли
закон,* z a1 k o0 n,зако0н
закончен,~ z a1 * k o0 n ch + i4 n,зако0нчен
закончила,~ z a1 * k o0 n' ch + i4 + l / a4,зако0нчила
закончим,~ z a1 * k o0 n' ch / i4 m,зако0нчим
закончит,~ z a1 * k o0 n' ch / i4 t,зако0нчит
законы,* z a1 k o0 n / y4,зако0ны
закричал,~ z a2 * k r' i1 ch + a0 + l,закрича0л
закричали,~ z a2 * k r' i1 ch + a0 + l' / i4,закрича0ли
закрутить,~ z a2 * k r u1 t' + i0 / t',закрути0ть
закрыв,~ z a1 * k r y0 + v,закры0в
закрыла,~ z a1 * k r y0 + l / a4,закры0ла
закрытую,~ z a1 * k r y0 + t / u4 j u4,закры0тую
закрыты,~ z a1 * k r y0 + t / y4,закры0ты
закрытыми,~ a1 k * r y0 t + y4 / m' i4 g,закры0тыми
закрыть,~ z a1 * k r y0 / d',закры0ть
закуска,~ z a1 * k u0 s + k / a4,заку0ска
заливает,~ z a2 * l' i1 + v a0 / j i4 t,залива0ет
заливался,~ z a2 * l' i1 + v a0 + l ^ s' a4,залива0лся
зализать,~ z a2 * l' i1 z + a0 / t',зализа0ть
залился,~ z a1 * l' i0 + l ^ s' a4,зали0лся
залитого,~ z a0 * l' i4 + t / a4 v a4,за0литого
зальются,~ z a1 * l' / j u0 ^ c a4,залью0тся
замаскированный,~ z a2 * m a2 s k' + i1 r o0 v a4 + n / y4 j,замаскиро0ванный
замаскировать,~ z a2 * m a2 s k' + i1 r a1 v a0 / t',замаскирова0ть
замена,~ z a1 * m' e0 n / a4,заме0на
замерзшая,~ z a1 * m' o0 r + s / sh a4 j,заме0рзшая
заметив,~ z a1 * m' e0 t' + i4 + f,заме0тив
заметил,~ z a1 * m' e0 t' + i4 + l,заме0тил
заметила,~ z a1 * m' e0 t' + i4 + l / a4,заме0тила
заметку,~ z a1 * m' e0 t + k / u4,заме0тку
заметно,~ z a1 * m' e0 t + n + a4,заме0тно
заметное,~ z a1 * m' e0 t + n / a4 j i4,заме0тное
замечал,~ z a2 * m' i1 ch + a0 + l,замеча0л
замечала,~ z a2 * m' i1 ch + a0 + l / a4,замеча0ла
замечали,~ z a2 * m' i1 ch + a0 + l' / i4,замеча0ли
замечание,~ z a2 * m' i1 ch + a0 + n' i4 - / i4,замеча0ние
замечания,~ z a2 * m' i1 ch + a0 + n' i4 j / a4,замеча0ния
замечательно,~ z a2 * m' i1 ch + a0 + t' i4 l' n + a4,замеча0тельно
замечательные,~ z a2 * m' i1 ch + a0 + t' i4 l' + n / y4 j i4,замеча0тельные
замечательный,~ z a2 * m' i1 ch + a0 + t' i4 l' n / y4 j,замеча0тельный
замечательным,~ z a2 * m' i1 ch + a0 + t' i4 l' + n / y4 m,замеча0тельным
замечать,~ z a2 * m' i1 ch + a0 / t',замеча0ть
замком,* z a1 m k / o0 m,замко0м
замок,* z a1 m o0 k,замо0к
замолчала,~ z a2 * m a1 l ch + a0 + l / a4,замолча0ла
замочную,* z a1 m o0 ch + n / u4 j u4,замо0чную
замуж,~ a0 m * u4 zh z,за0муж
замужем,~ z a0 * m u4 zh + y4 m,за0мужем
замужестве,~ z a1 * m u0 zh + y4 s t v' / i4,заму0жестве
замурлыкал,~ z a2 * m u1 r l y0 k + a4 + l,замурлы0кал
занавески,~ a2 z ~ a2 n * a1 v' e0 + s / k',занавески0
занавеску,~ z a2 ~ n a1 * v' e0 s + k / u4,занаве0ску
занавешенными,~ z a2 ~ n a1 * v' e0 sh + y4 n / y4 m' i4,занаве0шенными
занимает,~ z a2 * n' i1 m + a0 / j i4 t,занима0ет
занимается,~ z a2 * n' i1 m + a0 / j i4 ^ c a4,занима0ется
занималась,~ z a2 * n' i1 m + a0 + l / a4 ^ s',занима0лась
занимались,~ z a2 * n' i1 m + a0 l' / i4 ^ s,занима0лись
занимался,~ z a2 * n' i1 m + a0 + l ^ s' a4,занима0лся
занимать,~ z a2 * n' i1 m + a0 / d',занима0ть
заниматься,~ z a2 * n' i1 m + a0 ^ c a4,занима0ться
заново,~ - a0 * n a4 v + a4,за0ново
заноза,* z a1 n o0 z / a4,зано0за
занятием,~ z a1 * n' a0 + t' i4 / j i4 m,заня0тием
занятий,~ z a1 * n' + a0 t' + i4 j,заня0тий
занятой,~ z a1 * n' + i1 t / o0 j,занято0й
занять,~ z a1 * n' a0 / d',заня0ть
заняться,~ z a1 * n' a0 ^ c a4,заня0ться
западе,* z a0 p a4 d' / i4,за0паде
запах,~ z a0 * p a4 h,за0пах
запаха,~ z a0 * p a4 h / a4,за0паха
запахов,~ z a0 * p a4 h / a4 f,за0пахов
запахом,~ z a0 * p a4 h / a4 m,за0пахом
запел,~ z a1 * p' e0 + l,запе0л
запирает,~ z a2 * p' i1 r + a0 / j i4 d,запира0ет
запирался,~ z a2 * p' i1 r + a0 + l ^ s' a4,запира0лся
записать,~ z a2 * p' i1 s + a0 / d',записа0ть
записи,~ z a0 * p' i4 s' / i4,за0писи
записку,~ z a1 * p' i0 s + k / u4,запи0ску
записной,~ z a2 * p' i1 s + n / o0 j,записно0й
записных,~ z a2 * p' i1 s + n / y0 h,записны0х
записывать,~ z a1 * p' i0 s + y4 v a4 / t',запи0сывать
заплатит,~ z a1 * p l a0 t' / i4 t,запла0тит
заплатить,~ z a2 * p l a1 t' + i0 / d',заплати0ть
заплывы,~ z a1 * p l y0 v / y4,заплы0вы
заполнен,~ z a1 * p o0 l n' + i4 n,запо0лнен
запоминается,~ z a2 ~ p a2 * m' i1 n + a0 / j i4 ^ c a4,запомина0ется
запомнил,~ z a1 ~ p o0 * m n' + i4 + l,запо0мнил
запомнилось,~ z a1 * p o0 m n' + i4 + l / a4 ^ s',запо0мнилось
запомнить,~ z a1 ~ p o0 * m n' + i4 / t',запо0мнить
запрещают,* o0 z a2 p r' i1 + sc / a0 j u4,за0прещают
запруды,~ z a1 * p r u0 d / y4,запру0ды
запустение,~ z a2 * p u1 s' t' + e0 n' i4 j / i4,запусте0ние
зараженные,~ z a2 * r a1 zh + o0 n / y4 j i4,зараже0нные
заранее,~ z a1 * r a0 n' + i4 j i4,зара0нее
зарозовевшими,~ z a2 * r a2 z a1 v' + e0 + f sh / y4 m' i4,зарозове0вшими
зарыдала,~ z a2 * r y1 d + a0 + l / a4,зарыда0ла
засияли,~ z a2 * s' i1 j a0 + l' / i4,засия0ли
заскочил,~ z a2 * s k a1 ch + i0 + l,заскочи0л
заслонил,~ z a2 * s l a1 n' + i0 + l,заслони0л
заслужил,~ z a2 * s l u1 zh + y0 + l,заслужи0л
заслужили,~ z a2 * s l u1 zh + y0 + l' / i4,заслужи0ли
засмеявшись,~ z a2 * s m' i1 j + a0 + f sh y4 ^ s',засмея0вшись
засмеялась,~ z a2 * s m' i1 j + a0 + l / a4 ^ s',засмея0лась
засмеялся,~ z a2 * s m' i1 j + a0 + l ^ s' a4,засмея0лся
заснул,~ z a1 * s + n u0 / l,засну0л
заснула,~ z a1 * s + n u0 + l / a4,засну0ла
заснуть,~ z a1 * s + n u0 / t',засну0ть
заставил,~ z a1 * s t a0 v' + i4 + l,заста0вил
заставила,~ z a1 * s t a0 v' + i4 + l / a4,заста0вила
заставило,~ z a1 * s t a0 v' + i4 + l / a4,заста0вило
заставы,~ z a1 * s t a0 v / y4,заста0вы
заставят,~ z a1 * s t a0 v' / a4 t,заста0вят
застенчивый,~ z a1 ~ s * t' e0 n' + ch i4 v / y4 j,засте0нчивый
застряла,~ z a1 * s t r' + a0 + l / a4,застря0ла
застывшем,~ z a1 * s t y0 + f sh / y4 m,засты0вшем
застыл,~ z a1 * s t + y0 + l,засты0л
застыли,~ z a1 * s t + y0 + l' / i4,засты0ли
засулич,* z a1 s u0 l' i4 ch,засу0лич
засунув,~ z a1 * s u0 n + u4 + f,засу0нув
засунул,~ z a1 * s u0 + n u4 / l,засу0нул
засученными,~ z a1 * s u0 ch + i4 n / y4 m' i4,засу0ченными
затащил,~ z a2 * t a1 sc + i0 + l,затащи0л
затем,* z a1 t' e0 m,зате0м
затеял,* z a1 t' e0 + - i4 + l,зате0ял
затеяла,* z a1 t' e0 + - i4 + l / a4,зате0яла
заткнуть,~ z a1 * t k + n u0 / t',заткну0ть
затопал,~ z a1 * t o0 p + a4 + l,зато0пал
заторопился,~ z a2 * t a2 r a1 p' + i0 + l ^ s' a4,заторопи0лся
затрещала,~ z a2 * t r' i1 sc + a0 + l / a4,затреща0ла
затылок,~ z a1 * t y0 l + a4 k,заты0лок
затянула,~ z a2 * t' i1 n + u0 + l / a4,затяну0ла
захлопнул,~ z a1 * h l o0 p + n u4 + l,захло0пнул
заходил,~ z a2 * h a1 d' + i0 + l,заходи0л
заходит,~ z a1 * h o0 d' / i4 t,захо0дит
заходить,~ z a2 * h a1 d' + i0 / t',заходи0ть
захотелось,~ z a2 * h a1 t' + e0 + l / a4 ^ s',захоте0лось
захотеть,~ z a2 * h a1 t' + e0 / t',захоте0ть
захочет,~ z a1 * h o0 ch / i4 t,захо0чет
зацепился,~ z a2 * c e1 p' + i0 + l ^ s' a4,зацепи0лся
зацепки,~ z a1 * c e0 p + k' / i4,заце0пки
зачем,* - a1 ch e0 m,заче0м
зачем-то,* z a1 ch e0 m + t a4,заче0м-то
зачетам,~ z a1 * ch o0 t / a4 m,заче0там
зашел,~ z a1 * sh o0 + l,заше0л
зашелестела,~ z a2 * sh y1 l' i1 s' t' + e0 + l / a4,зашелесте0ла
зашептала,~ z a2 * sh y1 p t + a0 + l / a4,зашепта0ла
зашумели,~ z a2 * sh u1 m' + e0 + l' / i4,зашуме0ли
зашуршала,~ z a2 * sh u1 r sh + a0 + l / a4,зашурша0ла
звал,* z v a0 + l,зва0л
звали,* z v + a0 + l' / i4,зва0ли
звать,* z v + a0 / t',зва0ть
звенигородской,* z v' i1 n' i0 * g a4 r a4 + c k / a4 j,звени0городской
звонил,* z v a1 n' + i0 + l,звони0л
звонит,* z v a1 n' / i0 t,звони0т
звонить,* z v a1 n' + i0 / t',звони0ть
звонишь,* z v a1 n' / i0 sh,звони0шь
звонок,* - v a1 n + o0 k,звоно0к
звонят,* z v a1 n' / a0 t,звоня0т
звука,* z v u0 k /,зву0ка
звукам,* z v u0 k / a4 m,зву0кам
звучит,* z v u1 ch / i0 t,звучи0т
звучно,* z v u0 ch + n + a4,зву0чно
здесь,* z d' e0 -,зде0сь
здоровается,* z d a1 r o0 v + a4 / j i4 ^ c a4,здоро0вается
здоровались,* z d a1 r o0 v + a4 + l' / i4 ^ s',здоро0вались
здоровался,* z d a1 r o0 v + a4 + l ^ s' a4,здоро0вался
здороваться,* z d a1 r o0 v + a4 ^ c a4,здоро0ваться
здорово,* z d o0 r a4 v + a4,здо0рово
здоровым,* z d a1 r o0 v / y4 m,здоро0вым
здоровье,* z d a1 r o0 v' / j i4,здоро0вье
здравствуй,* z d r a0 + s t v + u4 + j,здра0вствуй
здравствуйте,* z d r a0 + s t v + u4 + j + t' i4,здра0вствуйте
здрасте,* z d r a0 s' / t' i4,здра0сте
зеленые,* z' i1 l' + o0 n / y4 j i4,зеле0ные
зеленым,* z' i1 l' o0 n\y4 m,зеле0ным
зелеными,* z' i1 l' + o0 n / y4 m' i4,зеле0ными
зелень,* z' e0 l' + i4 n',зе0лень
землю,* z' e0 m l' / u4,зе0млю
зеркалом,* z' e0 r k a4 l / a4 m,зе0ркалом
зеркалу,* z' e0 r k a4 l / u4,зе0ркалу
зимнего,* z' i0 m + n' / i4 v a4,зи0мнего
зимний,* z' i0 m + n' / i4 j,зи0мний
зимой,* z' i1 m / o0 j,зимо0й
зиму,* z' i0 m / u4,зи0му
злился,* z l' + i0 + l ^ s' a4,зли0лся
злишься,* z l' / i0 sh ^ s' a4,зли0шься
злобой,* z l + o0 b / a4 j,зло0бой
злого,* z l / o0 v a4,зло0го
злорадно,* z l = a1 * r a0 d + n + a4,злора0дно
злорадной,* z l = a1 * r a0 d + n / a4 j,злора0дной
злостью,* z l + o0 s' t' / j u4,зло0стью
знает,* n a0 - / i4 t n,зна0ет
знаете,* z n a0 - / i4 t' i4 -,зна0ете
знаешь,* z n a0 / - i4 sh,зна0ешь
знаком,* z n a1 + k + o0 m,знако0м
знакомая,* z n a1 + k + o0 m / a4 j a4,знако0мая
знакомства,* - n a1 + k + o0 m + s t v / a4,знако0мства
знакомы,* z n a1 + k + o0 m / y4,знако0мы
знакомый,* z n a1 + k + o0 m / y4 j,знако0мый
знакомыми,* z n a1 + k + o0 m / y4 m' i4,знако0мыми
знакомых,* z n a1 k + o0 + m / y4 h,знако0мых
знал,* z n a0 + l,зна0л
знала,* z n a0 + l / a4,зна0ла
знали,* z n a0 + l' / i4,зна0ли
знаменитого,* z n a2 + m' i1 + n' + i0 t / a4 v a4,знамени0того
знать,* z n a0 / t',зна0ть
значение,* z n a1 + ch + e0 n' i4 i4 / m',значе0ние
значения,* z n a1 + ch + e0 n' i4 - / a4,значе0ния
значило,* z n a0 + ch + i4 + l / a4,зна0чило
значит,* z n a0 + ch / i4 c,зна0чит
значительного,* z n a1 ch + i0 + t' i4 l' + n / a4 v a4,значи0тельного
значительное,* z n a1 ch + i0 + t' i4 l' + n / a4 j i4,значи0тельное
значительные,* z n a1 ch + i0 + t' i4 l' + n / y4 j i4,значи0тельные
значительным,* z n a1 ch + i0 + t' i4 l' + n / y4 m,значи0тельным
знаю,* z n a0 / j j,зна0ю
знают,* z n a0 / j u4 c,зна0ют
зов,* z o0 f,зо0в
зовет,* z a1 v' / o0 t,зове0т
зовут,* a1 v u0 / t v',зову0т
золотой,* z a2 l a1 t / o0 j,золото0й
золотых,* z a2 l a1 t / y0 h,золоты0х
зонтами,* z a1 n t / a0 m' i4,зонта0ми
зонтик,* z o0 n' t' + i4 k,зо0нтик
зонтика,* z o0 n' t' + i4 k / a4,зо0нтика
зорче,* z o0 r + ch i4,зо0рче
зрачками,* z r a1 ch k / a0 m' i4,зрачка0ми
зрения,* z r' + e0 n' i4 j / a4,зре0ния
зубами,* z u1 b / a0 m' i4,зуба0ми
зубной,* z u1 b + n / o0 j,зубно0й
зубном,* z u1 b + n / o0 m,зубно0м
зубным,* z u1 b + n / y0 m,зубны0м
зубрят,* z u1 b r' / a0 -,зубря0т
зубы,* z u0 b / y4,зу0бы
зурин,* z u0 r' + i4 n,зу0рин
зятем,* z' a0 t' / i4 m,зя0тем
ибо,* i0 b a4,и0бо
иваан,* i1 v a0 a4,ива0ан
иван,* i1 v a0 n,ива0н
ивана,* i1 v a0 n / a4,ива0на
иване,* y1 v a0 n' / i4,ива0не
иванов,* y1 v a0 n + a4 f,ива0нов
иванова,* y1 v a0 n + a4 v / a4,ива0нова
ивановича,* - v a0 n + - v' + i4 ch / a4,и0вановича
иваном,* i1 v a0 n / a4 m,ива0ном
ивану,* i1 v a0 n / u4,ива0ну
игорь,* i0 g a4 r',и0горь
игоря,* i0 g a4 r' / a4,и0горя
играет,* i1 g r + a0 / j i4 t,игра0ет
играешь,* i1 g r + a0 / j i4 sh,игра0ешь
играли,* i1 g r + a0 + l' / i4,игра0ли
играми,* i0 g r / a4 m' i4,и0грами
играть,* i1 g r + a0 / d',игра0ть
играют,* i1 g r + a0 / j u4 t,игра0ют
игрок,* i1 g r + o0 k,игро0к
игроками,* i1 g r + a1 k / a0 m' i4,игрока0ми
идеалы,* i1 d' i1 a0 l / y4,идеа0лы
идее,* i1 d' e0 / - i4,иде0е
идем,* i1 d' / o0 m,иде0м
идет,* i1 d' / o0 d,иде0т
идея,* i1 d' e0 j / a4,иде0я
идиотизм,* i1 d' i1 a1 t' + i0 z m,идиоти0зм
идите,* i1 d' + i0 + t' i4,иди0те
идут,* i1 d / u0 d,иду0т
иждивении,* i1 zh d' i1 v' e0 n' i4 / i4,иждиве0нии
из,* i0 s,и0з
из-за,* i0 z - a4,и0з-за
избавление,~ i1 z * b a1 v l' + e0 n' i4 j / i4,избавле0ние
избаловались,~ i1 z * b a0 l a4 v + a4 + l' / i4 ^ s',изба0ловались
избил,~ i1 z * b' i0 + l,изби0л
избрали,~ i1 z * b r + a0 + l' / i4,избра0ли
известно,~ i1 z * v' e0 s + n + a4,изве0стно
известный,~ i1 z * v' e0 s + n / y4 j,изве0стный
известных,~ i1 z * v' e0 s + n / y4 h,изве0стных
извините,~ i1 z * v' i1 n' + i0 + t' e4,извини0те
извинится,~ i1 z * v' i1 n' / i0 ^ c a4,извини0тся
извиняется,~ i1 z * v' i1 n' + a0 / j i4 ^ c a4,извиня0ется
извинялась,~ i1 z * v' i1 n' + a0 + l / a4 ^ s',извиня0лась
извиняться,~ i1 z * v' i1 n' + a0 ^ c a4,извиня0ться
издали,~ i0 z * d a4 + l' / i4,и0здали
издевался,* i1 z' d' i1 v + a0 + l ^ s' a4,издева0лся
изделий,~ y1 z' * d' e0 l' + i4 j,изде0лий
излагать,~ i1 z * l a1 g + a0 / t',излага0ть
