Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
кое-,~кое-,~ k o0 j i4,~ k o0 i4,2,"uta0189,atb0915"
кое-,~кое-,~ k o0 j i4,~ k o0 j e4,1,ata0189
кое-,~кое-,~ k o0 j i4,~ k o0 y4,2,"kta0825,stb0765"
кое-какие,~кое-*как/ие,~ k o0 j i4 * k a1 k' / i0 j i4,~ k o0 e4 * k a1 k' / i0 i4,1,ktb1071
кое-какие,~кое-*как/ие,~ k o0 j i4 * k a1 k' / i0 j i4,~ k o0 y4 * k a1 k' / i4 i4,1,atb1071
кое-какие,~кое-*как/ие,~ k o1 j i1 * k a1 k' / i0 j i4,~ k o1 i1 * k a1 k' / i0 i4,1,ctb1071
кое-чего,~кое-*ч/его,~ k a2 i1 * ch / i1 v o0,~ k o0 i4 * ch / o1 v o0,1,gta0189
кое-чего,~кое-*ч/его,~ k o0 i1 * ch / i1 v o0,~ k o0 y4 * ch / i1 v o0,1,ota0189
кое-чего,~кое-*ч/его,~ k o0 i4 * ch / i1 v o0,~ k o0 e4 * ch / e1 v o0,1,cta0189
кое-чего,~кое-*ч/его,~ k o0 i4 * ch / i1 v o0,~ k o0 y4 * ch / i1 v o0,1,mta0189
кое-чего,~кое-*ч/его,~ k o0 j * i4 / ch i1 v,~ k o0 i4 * ch / i1 v o0,1,kta0189
кожа,*кож/а,* k o0 zh / a4,* k o0 zh / a4,1,ata0232
кожа,*кож/а,* k o0 zh / a4,* k o0 zh / e4,3,"cta0232,sta0232,mta0232"
кожа,*кож/а,* k o0 zh / a4,* k o0 zh / y4,4,"gta0232,kta0232,ota0232,uta0232"
кожаных,*кож+ан/ых,* k o0 zh + a4 n / - -,* k o0 zh + n /,1,ata1087
кожаных,*кож+ан/ых,* k o0 zh + a4 n / y4 h,* k o0 zh + y4 n / y4 h,5,"cta1085,cta1087,kta1085,kta1087,ata1085"
кожевенником,*кож+ев+енн+ик/ом,* k a1 zh + e0 v' + i4 n' + i4 k / a4 m,* k a1 zh + e0 v' + i4 n' + i4 k / a4 m,3,"cta0875,kta0875,ata0875"
кожей,*кож/ей,* k o0 zh / y4 j,* k o0 zh / y4,1,ata1069
кожей,*кож/ей,* k o0 zh / y4 j,* k o0 zh / y4 j,2,"cta1069,kta1069"
кожи,*кож/и,* k o0 zh / y4,* k o0 sh / y4,1,ata0943
кожи,*кож/и,* k o0 zh / y4,* k o0 zh / y4,2,"cta0943,kta0943"
кожу,*кож/у,* k o0 zh / u4,* k o0 zh / u4,7,"cta0300,gta0300,ota0300,sta0300,uta0300,ata0300,mta0300"
кожу,*кож/у,* k o0 zh / u4,* k o0 zh / y4,1,kta0300
козлах,*козл/ах,* k o0 z l / a4 h,* k o0 s l / y4 h,1,ata0912
козлах,*козл/ах,* k o0 z l / a4 h,* k o0 z l / a4 h,1,kta0912
козлах,*козл/ах,* k o0 z l / y4 h,* k o0 z l / y4 h,1,cta0912
козлове,*козл+ов/е,* k a1 z l + o0 v' / i4,* k a1 z l + o0 v' / e4,2,"cta0767,ata0767"
козлове,*козл+ов/е,* k a1 z l + o0 v' / i4,* k a1 z l + o0 v' / i4,1,kta0767
кол,*кол,* k o0 l,* k o0 l,12,"ctb1613,ctb1614,ctb1653,ctb1654,ktb1613,ktb1614,ktb1653,ktb1654,atb1613,atb1614,atb1653,atb1654"
колебаний,*колеб+а+ний,* k a2 l' i1 b + a0 + n' i4 j,* k e1 l' y1 b + a0 + n' i4,1,mta0489
колебаний,*колеб+а+ний,* k a2 l' i1 b + a0 + n' i4 j,* k l' e1 b + a0 + n' i4,1,gta0489
колебаний,*колеб+а+ний,* k a2 l' i1 b + a0 + n' i4 j,* k y1 l' i1 b + a0 + n' i4,4,"ota0489,sta0489,uta0489,ata0489"
колебаний,*колеб+а+ний,* k a2 l' i1 b + a0 + n' i4 j,* k y1 l' i1 b + a0 + n' i4 i4,1,kta0489
колебаний,*колеб+а+ний,* k a2 l' i1 b + a0 + n' i4 j,* k y1 l' i1 b + a0 + n' i4 j,1,cta0489
колени,*колен/и,* k a1 l' e0 n' / i4,* k a1 l' e0 n' / e4,4,"gta0184,gta0185,sta0184,sta0185"
колени,*колен/и,* k a1 l' e0 n' / i4,* k a1 l' e0 n' / i4,12,"cta0184,cta0185,kta0184,kta0185,ota0184,ota0185,uta0184,uta0185,ata0184,ata0185,mta0184,mta0185"
колену,*колен/у,* k a1 l' e0 n / u4,* k a1 l' e0 n / u4,8,"cta0270,gta0270,kta0270,ota0270,sta0270,uta0270,ata0270,mta0270"
коленях,*колен/ях,* k a1 l' e0 n' / a4 h,* k a1 l' e0 n' / e4 h,3,"cta0271,kta0271,mta0271"
коленях,*колен/ях,* k a1 l' e0 n' / a4 h,* k a1 l' e0 n' / i4 h,1,ota0271
коленях,*колен/ях,* k a1 l' e0 n' / i4 h,* k a1 l' e0 n' / a4 h,1,ata0271
коленях,*колен/ях,* k a1 l' e0 n' / i4 h,* k a1 l' e0 n' / e4 h,1,gta0271
коленях,*колен/ях,* k a1 l' e0 n' / i4 h,* k a1 l' e0 n' / i4 h,2,"sta0271,uta0271"
количество,*колич+еств/о,* k a1 l' i0 ch + i4 s t v / a4,* k a1 l' i0 ch + i4 s s v / o4,1,ste0117
количество,*колич+еств/о,* k a1 l' i0 ch + i4 s t v / a4,* k a1 l' i0 ch + i4 s t v / a4,5,"ctb1239,gte0025,ktb1239,ste0213,atb1239"
количество,*колич+еств/о,* k a1 l' i0 ch + i4 s t v / a4,* k a1 l' i0 ch + i4 s t v / o4,1,gte0117
количество,*колич+еств/о,* k a1 l' i0 ch + i4 s t v / a4,* k a1 l' i0 ch + i4 s t v / y4,1,gte0213
количество,*колич+еств/о,* k a1 l' i0 ch + i4 s t v / a4,* k a1 l' i0 sc + i4 s t v / a4,1,ste0025
коломенское,*коломен+ск/ое,* k a1 l o0 m' i4 n + s k / a4 j i4,* k a1 l o0 m' e4 n + s k / e4 e4,1,kta0695
коломенское,*коломен+ск/ое,* k a1 l o0 m' i4 n + s k / a4 j i4,* k a1 l o0 m' i4 n + s k / a4 e4,1,ata0695
коломенское,*коломен+ск/ое,* k a1 l o0 m' i4 n + s k / a4 j i4,* k a1 l o0 m' i4 n + s k / e4 e4,1,cta0695
колонку,*колон+к/у,* k a1 l o0 n + k / u4,* k a1 l o0 n + k / o4,1,gta0198
колонку,*колон+к/у,* k a1 l o0 n + k / u4,* k a1 l o0 n + k / u4,7,"cta0198,kta0198,ota0198,sta0198,uta0198,ata0198,mta0198"
колонной,*колонн/ой,* k a1 l o0 n / a4 j,* k a1 l o0 n / y4 i4,1,cta1139
колонну,*колонн/у,* k a1 l o0 n / u4,* k a1 l o0 n / u4,1,cta1141
колунами,*колун/ами,* k a2 l u1 n / a0 m' i4,* k a2 l u1 n / a0 m' i4,1,ata0763
колунами,*колун/ами,* k a2 l u1 n / a0 m' i4,* k y1 l u1 n / a0 m' i4,2,"cta0763,kta0763"
колются,*кол/ют^ся,* k o0 l' / u4 ^ c a4,* k o0 l' / e4 ^ c a4,1,kta0807
колются,*кол/ют^ся,* k o0 l' / u4 ^ c a4,* k o0 l' / i4 ^ c y4,1,kta0977
колются,*кол/ют^ся,* k o0 l' / u4 ^ c a4,* k o0 l' / o4 ^ c a4,1,ata0807
колются,*кол/ют^ся,* k o0 l' / u4 ^ c a4,* k o0 l' / o4 ^ c y4,1,ata0977
колются,*кол/ют^ся,* k o0 l' / u4 ^ c a4,* k o0 l' / u4 ^ c a4,1,cta0807
колются,*кол/ют^ся,* k o0 l' / u4 ^ c a4,* k o0 l' / u4 ^ c e4,1,cta0977
коляски,*коляс+к/и,* k a1 l' a0 s + k' / i4,* k a1 l' a0 s + k / i4,1,otb0561
коляски,*коляс+к/и,* k a1 l' a0 s + k' / i4,* k a1 l' a0 s + k' / i4,6,"ctb0561,gtb0561,ktb0561,stb0561,utb0561,atb0561"
коляски,*коляс+к/и,* k a1 l' a0 s + k' / i4,* k e1 l' a0 s + k' / i4,1,mtb0561
команде,*команд/е,* k a1 m a0 n' d' / i4,* k a1 m a0 n' d' / e4,1,ctb1612
команде,*команд/е,* k a1 m a0 n' d' / i4,* k a1 m a0 n' d' / i4,2,"ktb1612,atb1612"
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k a2 m a2 n d' + i1 r + o0 f + k' / i4,1,mta0274
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k a2 m a2 n' d' + e1 r + o0 f + k' /,1,mta0318
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,3,"ota0318,sta0274,sta0318"
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k a2 m e1 n d' + o1 r + o0 f + k' / e4,1,gta0318
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k a2 m y1 n' d' + e1 r + o0 f + k' / i4,1,cta0274
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k a2 m y1 n' d' + i1 r + o0 f + k' / i4,1,ata0274
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k o1 m y1 n d' + i1 r + o0 f + k' / i4,1,uta0318
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k y1 m y1 n' d' + i1 r + o0 f + k' / e4,1,gta0274
командировке,*команд+ир+ов+к/е,* k a2 m a2 n' d' + i1 r + o0 f + k' / i4,* k y1 m y1 n' d' + i1 r + o0 f + k' / i4,6,"cta0318,kta0274,kta0318,ota0274,uta0274,ata0318"
командировкой,*команд+ир+ов+к/ой,* k a2 m a2 n' d' + i1 r + o0 f + k / a4 j,* k a2 m a2 n d' + i1 r + o0 f + k / a4 j,1,ata0216
командировкой,*команд+ир+ов+к/ой,* k a2 m a2 n' d' + i1 r + o0 f + k / a4 j,* k a2 m y1 n d' + i1 r + o0 f + k / y4,2,"kta0216,mta0216"
командировкой,*команд+ир+ов+к/ой,* k a2 m a2 n' d' + i1 r + o0 f + k / a4 j,* k m a2 n' d' + i1 r + o0 f + k / y4,1,gta0216
командировкой,*команд+ир+ов+к/ой,* k a2 m a2 n' d' + i1 r + o0 f + k / a4 j,* k y1 m y1 n d' + i1 r + o0 f + k / e4 j,1,cta0216
командировкой,*команд+ир+ов+к/ой,* k a2 m a2 n' d' + i1 r + o0 f + k / a4 j,* k y1 m y1 n' d' + i1 r + o0 f + k / y4,2,"ota0216,uta0216"
командировку,*команд+ир+ов+к/у,* k a2 m a2 n d' + i1 r + o0 f + k / u4,* k a2 m y1 n d' + i1 r + o0 f + k / u4,1,gta0291
командировку,*команд+ир+ов+к/у,* k a2 m a2 n d' + i1 r + o0 f + k / u4,* k y1 m y1 n d' + i1 r + o0 f + k / u4,1,uta0291
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k a2 m a2 n d' + i1 r + o0 f + k / u4,2,"atb2139,mta0275"
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,3,"ota0291,sta0275,mta0291"
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k a2 m y1 n d' + i1 r + o0 f + k / u4,2,"gta0275,kta0291"
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k a2 m y1 n' d' + e1 r + o0 f + k / u4,1,cta0275
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k a2 m y1 n' d' + o1 r + o0 f + k / u4,1,cta0291
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k o1 m y1 n d' + i1 r + o0 f + k / u4,1,ctb1502
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k o1 m y1 n' d' + i1 r + o0 f + k / u4,1,kta0275
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k y1 m a2 n' d' + i1 r + o0 f + k / u4,1,ata0291
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k y1 m o1 n' d' + i1 r + o0 f + k / u4,1,atb1502
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k y1 m y1 n d' + i1 r + o0 f + k / u4,3,"ctb2139,ota0275,uta0275"
командировку,*команд+ир+ов+к/у,* k a2 m a2 n' d' + i1 r + o0 f + k / u4,* k y1 m y1 n' d' + i1 r + o0 f + k / u4,4,"ktb1502,ktb2139,sta0291,ata0275"
команду,*команд/у,* k a1 m a0 n d / u4,* k a1 m a0 n d / u4,7,"ctb0158,gtb0158,ktb0158,otb0158,stb0158,atb0158,mtb0158"
команду,*команд/у,* k a1 m a0 n d / u4,* k a1 m a0 n t / u4,1,utb0158
комические,*комич+еск/ие,* k a1 m' i0 ch + i4 s k' / i4 j i4,* k a1 m' i0 ch + e4 s k' / i4 e4,1,ata0886
комические,*комич+еск/ие,* k a1 m' i0 ch + i4 s k' / i4 j i4,* k a1 m' i0 ch + i4 s k' / i4 i4,2,"cta0886,kta0886"
коммерсанты,*коммерс+ант/ы,* k a2 m' i1 r s + a0 n t / y4,* k y1 m' e1 r s + a0 n t / e4,1,kta1079
коммерсанты,*коммерс+ант/ы,* k a2 m' i1 r s + a0 n t / y4,* k y1 m' e1 r s + a0 n t / y4,2,"cta1079,ata1079"
коммуны,*коммун/ы,* k a1 m u0 n / y4,* k a1 m u0 n / y4,3,"cta0746,kta0746,ata0746"
комнат,*комнат,* k o0 m n a4 t,* k o0 m n a4 t,1,kta0913
комнат,*комнат,* k o0 m n a4 t,* k o0 m n y4 t,2,"cta0913,ata0913"
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n a4 t / a4,12,"cta0027,cta0213,cta0445,ctb1468,gta0213,ktb1468,kta0027,kta0213,utc1578,ata0445,atb1468,mta0027"
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n a4 t / e4,3,"ota0445,ata0027,mta0213"
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n a4 t / y4,6,"gta0027,gta0445,ktb2062,ota0213,atb1910,atb2062"
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n e4 t / a4,2,"ktc1578,mta0445"
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n y4 t / a4,6,"ctb1910,ctc1578,sta0213,sta0445,uta0027,uta0445"
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n y4 t / e4,1,ata0213
комната,*комнат/а,* k o0 m n a4 t / a4,* k o0 m n y4 t / y4,4,"ctb2062,ota0027,sta0027,uta0213"
комнатах,*комнат/ах,* k o0 m n a4 t / a4 h,* k o0 m n a4 t / a4 h,3,"kta0617,kta0652,kta0909"
комнатах,*комнат/ах,* k o0 m n a4 t / a4 h,* k o0 m n a4 t / y4 h,2,"ata0617,ata0652"
комнатах,*комнат/ах,* k o0 m n a4 t / a4 h,* k o0 m n e4 t / y4 h,1,cta0909
комнатах,*комнат/ах,* k o0 m n a4 t / a4 h,* k o0 m n y4 t / y4 h,3,"cta0617,cta0652,ata0909"
комнате,*комнат/е,* k o0 m n a4 t' / e4,* k o0 m n a4 t' / i4,1,ota0005
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n a4 t' /,1,utc1097
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n a4 t' / e4,8,"gtb0705,gtb0710,kta0920,kta0101,ktb0705,ata0101,ata0619,ata0810"
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n a4 t' / i4,9,"cta0909,ctb1927,gta0027,ata0027,ata0116,atb0871,atb1927,mta0027,mta0116"
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n e4 t' /,1,sta0101
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n e4 t' / e4,7,"cta0946,ctc1097,gta0005,gta0101,ktb0871,ktb0710,atb0710"
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n e4 t' / i4,12,"cta0116,ctb0705,kta0652,kta0918,sta0005,sta0027,sta0116,uta0027,ata0005,mta0101,mtb0705,mtb0710"
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n y1 t' / e4,1,cta0027
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n y4 t' /,2,"ota0027,stb0705"
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n y4 t' / e4,12,"cta0005,cta0101,cta0810,cta0920,ctb0710,ctb0871,kta0946,ktc1097,stb0710,uta0005,ata0918,ata0920"
комнате,*комнат/е,* k o0 m n a4 t' / i4,* k o0 m n y4 t' / i4,24,"cta0619,cta0652,cta0918,gta0116,kta0619,kta0810,kta0909,ktb1927,kta0005,kta0027,kta0116,ota0101,ota0116,otb0705,otb0710,uta0101,uta0116,utb0705,utb0710,atb0705,ata0652,ata0909,ata0946,mta0005"
комнатки,*комнат+к/и,* k o0 m n a4 t + k' / i4,* k o0 m n y4 t + k' / e4,1,kta0909
комнатки,*комнат+к/и,* k o0 m n a4 t + k' / i4,* k o0 m n y4 t + k' / i4,2,"cta0909,ata0909"
комнатку,*комнат+к/у,* k o0 m n a4 t + k / u4,* k o0 m n a4 t + k / u4,3,"gta0094,ata0094,mta0094"
комнатку,*комнат+к/у,* k o0 m n a4 t + k / u4,* k o0 m n e4 t + k / u4,1,sta0094
комнатку,*комнат+к/у,* k o0 m n a4 t + k / u4,* k o0 m n y4 t + k / u4,2,"cta0094,ota0094"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m m y4 t / y4,1,utb0771
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n a1 t /,1,mta0317
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n a4 t /,2,"utc1124,utc1128"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n a4 t / o4,1,mta0243
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n a4 t / u4,104,"cta0048,cta0460,cta0497,cta0927,cta1031,ctb0182,ctb1257,ctb1617,ctb1624,ctc0018,ctc1124,ctc1128,ctc1143,ctc1144,gta0029,gta0048,gta0198,gta0219,gta0243,gta0254,gta0317,gta0363,gta0460,gta0497,gtb0137,gtb0182,gtb0697,kta0669,ktb1257,ktb1310,ktb1323,ktb1433,ktb1470,ktb1617,ktb1680,kta0029,kta0048,kta0094,kta0198,kta0219,kta0243,kta0254,kta0317,kta0363,kta0460,kta0497,ktb0137,ktb0182,ktb0697,ktb0771,ktc0018,ktc1124,ktc1128,ktc1143,ota0048,ota0198,ota0219,ota0254,ota0317,ota0363,otb0137,otb0182,sta0029,sta0048,sta0219,sta0243,sta0254,sta0317,stb0182,uta0029,uta0048,uta0094,utb0182,utc1143,ata0029,ata0048,ata0198,ata0254,ata0317,ata0363,ata0460,ata0497,atb0137,atb0697,atb0771,ata1009,ata1025,ata1031,ata1052,atb1257,atb1282,atb1433,atb1470,atb1617,atb1624,atb1680,mta0029,mta0048,mta0219,mta0460,mta0497,mtb0182,mtb0697,mtb0771"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n e4 t / u4,13,"cta0198,cta0219,cta0959,cta1009,cta1025,cta1052,ctb0771,ctb1433,kta1031,sta0198,uta0460,utb0137,ata0243"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n o4 t / u4,2,"utc0018,mta0363"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n t / u4,4,"uta0254,ata0219,mta0198,mta0254"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n u4 t / u4,7,"cta0254,ctb1470,gtb0771,ota0460,sta0497,stb0771,uta0497"
комнату,*комнат/у,* k o0 m n a4 t / u4,* k o0 m n y4 t / u4,41,"cta0029,cta0243,cta0317,cta0363,cta0669,ctb0137,ctb0697,ctb1282,ctb1310,ctb1323,ctb1680,kta0927,kta0959,kta1009,kta1025,kta1052,ktb1282,ktb1624,ota0029,ota0243,ota0497,otb0697,otb0771,sta0363,sta0460,stb0137,stb0697,uta0198,uta0219,uta0243,uta0317,uta0363,utb0697,utc1144,atb0182,ata0669,ata0927,ata0959,atb1310,atb1323,mtb0137"
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m a4 t /,1,utc0371
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n a4 t /,1,utc1138
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n a4 t / e4,5,"ctc1138,gta0430,kta0717,kta0720,kta0430"
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n a4 t / y4,25,"cta0114,cta0913,ctb1669,ctc1129,gtb0759,kta0654,kta0913,kta0972,ktb1669,ktb1738,kta0114,ktb0759,ktc0278,ktc0371,ota0114,ota0430,sta0114,utc0278,utc1129,ata0114,ata0430,atb1669,atb1738,mta0114,mta0430"
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n e4 t / e4,1,ctc0278
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n e4 t / y4,4,"cta0972,ctc0371,atb0759,mtb0759"
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n t / y4,2,"ata0720,ata0996"
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n y4 t / e4,1,gta0114
комнаты,*комнат/ы,* k o0 m n a4 t / y4,* k o0 m n y4 t / y4,21,"cta0430,cta0654,cta0717,cta0720,cta0996,ctb0759,ctb1738,kta0996,ktc1129,ktc1138,ktc1144,otb0759,sta0430,stb0759,uta0114,uta0430,utb0759,ata0654,ata0717,ata0913,ata0972"
компании,*компани/и,* k a1 m p a0 n' i4 / i4,* k a1 m p a0 n' e4 / e4,1,gte0044
компании,*компани/и,* k a1 m p a0 n' i4 / i4,* k a1 m p a0 n' i4 /,2,"gte0119,ste0119"
компании,*компани/и,* k a1 m p a0 n' i4 / i4,* k a1 m p a0 n' i4 / e4,2,"kta0493,uta0493"
компании,*компани/и,* k a1 m p a0 n' i4 / i4,* k a1 m p a0 n' i4 / i4,15,"cta0493,gta0493,gte0017,ota0493,otd0027,otd0028,otd0247,sta0493,ste0017,ste0044,ata0493,atd0027,atd0028,atd0247,mta0493"
композиторы,*композит+ор/ы,* k a1 m p a1 z' i0 t + a4 r / y4,* k m p a1 z' i0 t + y4 r / y4,1,otb0141
композиторы,*композит+ор/ы,* k a2 m p a1 z' i0 t + a4 r / y4,* k a2 m p a1 z' i0 t + e4 r / y4,2,"stb0141,mtb0141"
композиторы,*композит+ор/ы,* k a2 m p a1 z' i0 t + a4 r / y4,* k a2 m p a1 z' i0 t + y4 r / y4,2,"ctb0613,ctb1513"
композиторы,*композит+ор/ы,* k a2 m p a1 z' i0 t + a4 r / y4,* k e1 m p a1 z' i0 t + y4 r / e4,1,ktb0141
композиторы,*композит+ор/ы,* k a2 m p a1 z' i0 t + a4 r / y4,* k o1 m p a1 z' i0 t + r / y4,1,stb0613
композиторы,*композит+ор/ы,* k a2 m p a1 z' i0 t + a4 r / y4,* k o1 m p a1 z' i0 t + y4 r / y4,4,"ctb0141,gtb0141,gtb0613,utb0141"
композиторы,*композит+ор/ы,* k a2 m p a1 z' i0 t + a4 r / y4,* k y1 m p a1 z' i0 t + y4 r / y4,7,"ktb1513,ktb0613,otb0613,utb0613,atb0141,atb0613,atb1513"
композиторы,*композит+ор/ы,* k u1 m p a1 z' i0 t + a4 r / y4,* k u1 m p a1 z' i0 t + e4 r / y4,1,mtb0613
кому-нибудь,*кому-+нибудь,* k a1 m u0 + n' i4 b u4 t',* k a1 m u0 + n' i4 b u4 t,1,ctb2005
кому-нибудь,*кому-+нибудь,* k a1 m u0 + n' i4 b u4 t',* k a1 m u0 + n' i4 b u4 t',2,"ktb2005,atb2005"
кому-то,*кому-+то,* k a1 m u0 + t a4,* k a1 m u0 + t a4,2,"ata0438,atb0936"
кому-то,*кому-+то,* k a1 m u0 + t a4,* k a1 m u0 + t e4,3,"gta0438,ktb0936,mta0438"
кому-то,*кому-+то,* k a1 m u0 + t a4,* k a1 m u0 + t o4,1,ctb0936
кому-то,*кому-+то,* k a1 m u0 + t a4,* k a1 m u0 + t y4,5,"cta0438,kta0438,ota0438,sta0438,uta0438"
комфорта,*комфорт/а,* k a1 m f o0 r t / a4,* k a1 m f o0 r t / a4,2,"cta0935,ata0935"
комфорта,*комфорт/а,* k a1 m f o0 r t / a4,* k a1 m f o0 r t / e4,1,kta0935
конверте,*конверт/е,* k a1 n v' e0 r t' / i4,* k a1 n v' e0 r t' / i4,3,"ctb1943,ktb1943,atb1943"
кондукторша,*кондукт+ор+ш/а,* k a1 n d u0 k t + a4 r + sh / a4,* k a1 n d u0 k t + y4 r + sh / a4,3,"ctb2032,ktb2032,atb2032"
конечная,*конеч+н/ая,* k a1 n' e0 ch + n / a4 j a4,* k a1 n' e0 ch + n / a4 a4,1,ktb2008
конечная,*конеч+н/ая,* k a1 n' e0 ch + n / a4 j a4,* k a1 n' e0 ch + n / e4 e4,2,"ctb2008,atb2008"
конечно,*конеч+н+о,* k a1 n' e0 sh + n + a4,* k a1 j e0 sh + n + y4,1,utb0640
конечно,*конеч+н+о,* k a1 n' e0 sh + n + a4,* k a1 n e0 sh + n + a4,1,atb1967
конечно,*конеч+н+о,* k a1 n' e0 sh + n + a4,* k a1 n' e0 sh + + n',1,mtb0291
конечно,*конеч+н+о,* k a1 n' e0 sh + n + a4,* k a1 n' e0 sh + n +,5,"ste0084,utc0348,mta0313,mtb0114,mtb0213"
конечно,*конеч+н+о,* k a1 n' e0 sh + n + a4,* k a1 n' e0 sh + n + a4,141,"cta0029,cta0258,cta0333,cta0362,cta0564,cta0610,cta0613,cta0825,cta0900,ctb0014,ctb0024,ctb0027,ctb0213,ctb0291,ctb0667,ctb0811,ctb0876,ctb0953,ctb1073,ctb1074,ctb1226,ctb1418,ctb1505,ctb1731,ctb1748,ctb1967,ctb2134,ctc0075,ctc0348,ctc0723,ctc1015,ctc1070,ctc1230,gta0029,gta0333,gta0362,gtb0014,gtb0024,gtb0027,gtb0114,gtb0213,gtb0291,gtb0466,gtb0640,gtb0667,gte0084,gte0167,gte0351,kta0610,kta0613,kta0798,kta0900,kta0913,ktb0876,ktb1073,ktb1074,ktb1226,ktb1731,ktb1748,ktb1967,kta0029,kta0333,kta0362,ktb0014,ktb0024,ktb0027,ktb0114,ktb0466,ktb0640,ktb0667,ktc0075,ktc0348,ktc0723,ktc1015,ktc1070,ktc1230,ota0029,ota0258,otb0027,otb0291,otb0466,otb0667,otd0204,otd0245,otd0264,otd0279,sta0258,sta0313,sta0333,stb0114,stb0466,stb0640,stb0667,ste0351,uta0333,utb0014,utb0027,utb0213,utb0466,utb0667,utc0075,utc0723,utc1015,utc1230,ata0333,ata0362,atb0014,atb0024,atb0027,atb0213,atb0291,atb0466,atb0667,atd0204,atd0273,atd0279,ata0564,ata0610,ata0613,ata0730,ata0798,ata0900,atb0811,atb0876,atb0953,atb1073,atb1074,atb1098,atb1226,atb1418,atb1505,atb1748,atb2134,mta0029,mta0333,mta0362,mtb0014,mtb0024,mtb0027,mtb0466,mtb0640"
